YUMMY,GREASY,CHEAP,HEALTHY,DISGUSTING,AGE,GENDER,LIKING,VISIT_FREQUENCY
NO,YES,NO,NO,NO,52,Female,3,Daily
NO,YES,NO,YES,NO,35,Female,2,Daily
YES,NO,NO,NO,YES,47,Male,2,Daily
NO,YES,NO,NO,NO,19,Male,2,Rarely
NO,YES,NO,YES,YES,25,Male,-2,Rarely
NO,NO,NO,NO,NO,48,Male,4,Rarely
YES,NO,NO,YES,YES,31,Male,-5,Monthly
YES,YES,YES,YES,YES,47,Male,0,Rarely
NO,YES,NO,NO,NO,26,Male,1,Rarely
NO,YES,YES,YES,NO,33,Female,0,Daily
NO,NO,YES,YES,NO,63,Female,-1,Monthly
NO,YES,NO,YES,NO,43,Male,-5,Rarely
NO,NO,YES,NO,YES,23,Male,-3,Monthly
NO,YES,NO,YES,NO,62,Male,4,Weekly
YES,YES,NO,NO,NO,40,Female,-2,Weekly
NO,YES,YES,NO,YES,30,Male,0,Rarely
YES,NO,YES,YES,NO,28,Male,-1,Daily
NO,NO,NO,NO,YES,42,Female,3,Daily
YES,YES,NO,NO,YES,42,Female,0,Daily
YES,NO,YES,YES,YES,27,Male,-5,Daily
NO,YES,YES,NO,YES,23,Female,1,Monthly
YES,YES,NO,YES,YES,51,Female,-3,Rarely
YES,YES,YES,YES,NO,52,Female,-3,Weekly
NO,NO,YES,NO,NO,37,Female,4,Daily
YES,YES,NO,NO,NO,20,Male,1,Rarely
NO,NO,YES,YES,NO,59,Male,0,Monthly
YES,NO,YES,NO,YES,58,Female,5,Daily
YES,NO,YES,YES,NO,61,Male,4,Weekly
YES,NO,YES,YES,YES,25,Female,-5,Daily
YES,NO,YES,YES,NO,60,Male,2,Weekly
NO,YES,NO,NO,NO,55,Male,-3,Daily
NO,YES,YES,YES,YES,21,Male,0,Daily
NO,YES,YES,YES,YES,61,Female,4,Weekly
NO,NO,NO,NO,YES,40,Female,0,Monthly
NO,NO,YES,NO,NO,40,Male,4,Daily
NO,NO,NO,NO,YES,59,Female,2,Daily
NO,YES,YES,YES,NO,30,Male,-2,Rarely
NO,NO,YES,NO,NO,25,Female,3,Daily
NO,NO,YES,NO,YES,64,Female,-1,Weekly
NO,YES,YES,NO,NO,51,Male,5,Monthly
NO,NO,NO,NO,YES,31,Female,-3,Daily
NO,YES,YES,YES,NO,21,Male,-3,Daily
NO,YES,NO,YES,YES,26,Male,-2,Weekly
NO,NO,YES,NO,NO,21,Female,-1,Rarely
YES,YES,NO,NO,YES,61,Male,-1,Weekly
NO,NO,NO,NO,YES,47,Female,3,Monthly
YES,YES,NO,NO,NO,23,Female,4,Monthly
NO,YES,NO,NO,YES,48,Male,-2,Rarely
NO,NO,YES,NO,YES,48,Female,0,Daily
YES,NO,YES,YES,NO,42,Female,-4,Daily
YES,NO,NO,NO,NO,27,Female,3,Rarely
NO,YES,YES,YES,YES,42,Male,4,Monthly
YES,NO,YES,NO,YES,40,Male,3,Daily
NO,NO,YES,YES,NO,56,Female,0,Rarely
YES,NO,NO,YES,NO,51,Male,-5,Monthly
YES,YES,YES,YES,YES,18,Male,4,Weekly
NO,NO,YES,NO,NO,58,Male,3,Rarely
YES,NO,YES,NO,NO,39,Female,4,Monthly
NO,NO,YES,YES,NO,59,Male,2,Monthly
YES,NO,YES,YES,YES,41,Female,-3,Weekly
NO,YES,NO,NO,NO,21,Female,5,Monthly
NO,YES,YES,NO,NO,31,Male,2,Daily
NO,YES,YES,NO,NO,23,Male,-3,Monthly
NO,YES,NO,NO,NO,40,Female,-4,Monthly
YES,YES,NO,YES,YES,48,Female,1,Daily
YES,YES,YES,YES,NO,59,Male,5,Weekly
NO,NO,NO,YES,NO,32,Female,-3,Monthly
YES,NO,NO,YES,NO,36,Male,-2,Daily
YES,NO,NO,YES,NO,42,Male,-1,Monthly
YES,YES,NO,YES,YES,22,Female,-4,Daily
YES,YES,YES,YES,NO,20,Female,3,Daily
NO,NO,NO,NO,YES,54,Female,-4,Rarely
NO,NO,YES,NO,NO,19,Female,0,Weekly
YES,NO,YES,NO,NO,65,Male,-1,Monthly
NO,YES,NO,YES,YES,23,Male,4,Daily
YES,YES,NO,NO,YES,31,Male,3,Weekly
YES,YES,NO,NO,YES,40,Male,-2,Rarely
YES,NO,YES,NO,YES,52,Male,-2,Rarely
YES,YES,YES,YES,NO,43,Female,0,Daily
NO,YES,NO,YES,NO,29,Male,5,Weekly
YES,YES,NO,YES,NO,48,Male,0,Rarely
YES,NO,YES,NO,YES,48,Female,3,Rarely
